('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.8UTNL2', 'p2f', 324, 2)
('mv | 12353', '/proc/self/oom_score_adj', 'p2f', 68, 4)
('rm | 12334', '/var/backups/dpkg.diversions.6.gz', 'p2f', 4, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/memory.max', 'p2f', 8, 1)
('sshd | 12419', '-D.-R.', 'p2p', 34, 2)
('awk | 12428', '$5 ~ /^ext(2|3|4)$/ { print $1 }.', 'p2p', 8, 1)
('gzip | 12369', '/var/backups/alternatives.tar.0', 'p2f', 2, 1)
('mv | 12337', '-f.--..//dpkg.diversions.2.gz..//dpkg.diversions.3.gz.', 'p2p', 4, 1)
('cups-browsed | 12319', '127.0.0.1:*->127.0.0.53:*', 'p2n', 9, 1)
('rm | 12334', '-f.--..//dpkg.diversions.6..//dpkg.diversions.6.gz.', 'p2p', 5, 1)
('systemd-logind | 628', '/run/systemd/sessions/.#391doKV1b', 'p2f', 2, 2)
('dpkg | 12457', '--print-foreign-architectures.', 'p2p', 2902, 3)
('sh | 12391', '/run/motd.dynamic.new', 'p2f', 31, 2)
('tracker-miner-f | 1400', '/home/storm/.cache/tracker3/files/last-crawl.txt.6HD6K2', 'p2f', 2, 2)
('mv | 12368', '-f.--..//alternatives.tar.1.gz..//alternatives.tar.2.gz.', 'p2p', 2, 1)
('grep | 12460', '^Check interval:.', 'p2p', 15, 2)
('python3 | 12385', '/home/storm/distdet/client/training/logs/log_split_chunk_0.txt', 'p2f', 5460, 211)
('stat | 12412', '-c.%Y./var/lib/ubuntu-release-upgrader/release-upgrade-available.', 'p2p', 32, 1)
('check-new-relea | 12414', '/var/lib/update-manager/meta-release-lts', 'p2f', 6, 3)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/memory.min', 'p2f', 8, 1)
('mv | 12353', '-f.--..//dpkg.statoverride.2.gz..//dpkg.statoverride.3.gz.', 'p2p', 4, 1)
('mv | 12336', 'oldpath=.//dpkg.diversions.3.gz(/var/backups/dpkg.diversions.3.gz), newpath=.//dpkg.diversions.4.gz(/var/backups/dpkg.diversions.4.gz)', 'p2f', 2, 1)
('mv | 12370', 'oldpath=.//alternatives.tar.0.gz(/var/backups/alternatives.tar.0.gz), newpath=.//alternatives.tar.1.gz(/var/backups/alternatives.tar.1.gz)', 'p2f', 2, 1)
('91-release-upgr | 12406', '/etc/update-motd.d/91-release-upgrade.', 'p2p', 32, 1)
('gzip | 12355', '/var/backups/dpkg.statoverride.0', 'p2f', 7, 1)
('gzip | 12355', '-f.-9..//dpkg.statoverride.0.', 'p2p', 7, 1)
('mv | 12356', '-i.PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin.run-part...', 'p2p', 31, 2)
('NetworkManager | 581', '10.218.108.42:*->91.189.91.48:*', 'p2n', 82, 2)
('python3 | 12384', '/home/storm/distdet/client/common/log_split.py./home/storm/distdet/client/tra...', 'p2p', 260, 1)
('mv | 12354', '-f.--..//dpkg.statoverride.1.gz..//dpkg.statoverride.2.gz.', 'p2p', 5, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/cgroup.subtree_control', 'p2f', 10, 6)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/memory.max', 'p2f', 2, 1)
('lesspipe | 12476', '/usr/bin/lesspipe.', 'p2p', 61, 2)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/memory.oom.group', 'p2f', 9, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/memory.high', 'p2f', 8, 1)
('gzip | 12339', '/var/backups/dpkg.diversions.0', 'p2f', 4, 1)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.CT5ML2', 'p2f', 324, 2)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/cgroup.subtree_control', 'p2f', 6, 3)
('sh | 12391', '-c./usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sb...', 'p2p', 31, 2)
('update-motd-fsc | 12418', '/usr/lib/update-notifier/update-motd-fsck-at-reboot.', 'p2p', 32, 1)
('cupsd | 12316', '/etc/cups/subscriptions.conf.N', 'p2f', 422, 2)
('tracker-miner-f | 1400', '/home/storm/.cache/tracker3/files/last-crawl.txt.9CG6K2', 'p2f', 2, 2)
('update-motd-una | 12415', '/usr/share/unattended-upgrades/update-motd-unattended-upgrades.', 'p2p', 32, 1)
('head | 12540', '-v.-n.8./proc/meminfo.', 'p2p', 111401, 64)
('avahi-daemon | 567', '10.218.105.20:*->10.218.108.42:*', 'p2n', 10, 1)
('rm | 12334', '/var/backups/dpkg.diversions.6', 'p2f', 4, 1)
('00-header | 12483', '/run/motd.dynamic.new', 'p2f', 31, 2)
('uname | 12394', '-o.', 'p2p', 31, 2)
('50-motd-news | 12398', '/etc/update-motd.d/50-motd-news.', 'p2p', 32, 2)
('mv | 12338', '-f.--..//dpkg.diversions.1.gz..//dpkg.diversions.2.gz.', 'p2p', 4, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/memory.swap.max', 'p2f', 9, 1)
('mv | 12354', 'oldpath=.//dpkg.statoverride.1.gz(/var/backups/dpkg.statoverride.1.gz), newpath=.//dpkg.statoverride.2.gz(/var/backups/dpkg.statoverride.2.gz)', 'p2f', 5, 1)
('grep | 12432', '^Mount count:.', 'p2p', 16, 2)
('sudo | 12573', '-s.', 'p2p', 5, 1)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/memory.low', 'p2f', 2, 1)
('rm | 12350', '/var/backups/dpkg.statoverride.6.gz', 'p2f', 7, 1)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/memory.high', 'p2f', 2, 1)
('basename | 12330', '/usr/bin/savelog.', 'p2p', 14, 3)
('savelog | 12328', '/usr/bin/savelog.-c.7.dpkg.diversions.', 'p2p', 4, 1)
('id | 12410', '-u.', 'p2p', 120, 2)
('run-parts | 12378', '--report./etc/cron.hourly.', 'p2p', 341, 1)
('systemd-logind | 628', '/run/systemd/users/.#1000Rfvhic', 'p2f', 2, 2)
('dpkg-db-backup | 12274', '/dev/null', 'p2f', 32, 1)
('python3 | 12384', '/dev/shm/sem.npLGo9', 'p2f', 2, 2)
('sudo | 12573', '/var/run/utmp', 'p2f', 5, 1)
('sudo | 12573', '/home/storm/.sudo_as_admin_successful', 'p2f', 4, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/cgroup.procs', 'p2f', 8, 1)
('systemd-logind | 628', '/run/systemd/sessions/.#391eUl9F2', 'p2f', 2, 2)
('mv | 12370', '-f.--..//alternatives.tar.0.gz..//alternatives.tar.1.gz.', 'p2p', 2, 1)
('sudo | 12573', '/dev/ptmx', 'p2f', 133, 476)
('check-new-relea | 12519', '-c.-s.', 'p2p', 9377, 6)
('92-unattended-u | 12415', '/etc/update-motd.d/92-unattended-upgrades.', 'p2p', 32, 1)
('gzip | 12339', '-f.-9..//dpkg.diversions.0.', 'p2p', 5, 1)
('91-contract-ua- | 12405', '-c.-s.', 'p2p', 9378, 6)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/pids.max', 'p2f', 4, 1)
('rs:main | 607', '/var/log/auth.log', 'p2f', 1683, 13)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.BATNL2', 'p2f', 324, 2)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/memory.swap.max', 'p2f', 9, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/memory.low', 'p2f', 8, 1)
('gzip | 12355', '/var/backups/dpkg.statoverride.0.gz', 'p2f', 14, 2)
('gzip | 12369', '/var/backups/alternatives.tar.0.gz', 'p2f', 4, 2)
('mv | 12357', '-f.--.dpkg.statoverride..//dpkg.statoverride.0.', 'p2p', 7, 1)
('sshd | 12419', '/proc/self/loginuid', 'p2f', 31, 2)
('sleep | 12743', '1.', 'p2p', 118436, 65)
('NetworkManager | 581', '10.218.108.42:*->185.125.190.18:*', 'p2n', 95, 2)
('10-help-text | 12397', '/run/motd.dynamic.new', 'p2f', 124, 8)
('df | 12866', '-l.', 'p2p', 111377, 56)
('lsb_release | 12532', '-Es./usr/bin/lsb_release.-r.-s.', 'p2p', 6, 2)
('basename | 12477', '/usr/bin/lesspipe.', 'p2p', 61, 2)
('systemd-logind | 628', '/run/systemd/sessions/.#391xKtsIv', 'p2f', 2, 2)
('mv | 12351', 'oldpath=.//dpkg.statoverride.4.gz(/var/backups/dpkg.statoverride.4.gz), newpath=.//dpkg.statoverride.5.gz(/var/backups/dpkg.statoverride.5.gz)', 'p2f', 7, 1)
('mv | 12352', 'oldpath=.//dpkg.statoverride.3.gz(/var/backups/dpkg.statoverride.3.gz), newpath=.//dpkg.statoverride.4.gz(/var/backups/dpkg.statoverride.4.gz)', 'p2f', 2, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/memory.low', 'p2f', 8, 1)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/pids.max', 'p2f', 2, 1)
('90-updates-avai | 12491', '/etc/update-motd.d/90-updates-available.', 'p2p', 32, 2)
('cat | 12402', '/run/motd.dynamic.new', 'p2f', 106, 2)
('mv | 12356', 'oldpath=.//dpkg.statoverride.0.gz(/var/backups/dpkg.statoverride.0.gz), newpath=.//dpkg.statoverride.1.gz(/var/backups/dpkg.statoverride.1.gz)', 'p2f', 7, 1)
('mv | 12352', '-f.--..//dpkg.statoverride.3.gz..//dpkg.statoverride.4.gz.', 'p2p', 2, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/memory.oom.group', 'p2f', 9, 1)
('98-fsck-at-rebo | 12418', '/etc/update-motd.d/98-fsck-at-reboot.', 'p2p', 32, 1)
('check-new-relea | 12522', '/home/storm/.cache/update-manager-core/meta-release-lts', 'p2f', 4, 2)
('cron | 12382', '/proc/self/loginuid', 'p2f', 1107, 2)
('release-upgrade | 12414', '/var/lib/ubuntu-release-upgrader/release-upgrade-available', 'p2f', 2, 1)
('date | 12447', '-d..+%s.', 'p2p', 15, 1)
('cut | 12462', '-d(.-f.1.', 'p2p', 16, 2)
('mv | 12338', 'oldpath=.//dpkg.diversions.1.gz(/var/backups/dpkg.diversions.1.gz), newpath=.//dpkg.diversions.2.gz(/var/backups/dpkg.diversions.2.gz)', 'p2f', 4, 1)
('mv | 12336', '-f.--..//dpkg.diversions.3.gz..//dpkg.diversions.4.gz.', 'p2p', 2, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/pids.max', 'p2f', 4, 1)
('basename | 12349', '--.dpkg.statoverride.', 'p2p', 7, 1)
('awk | 12428', '-r.-s.', 'p2p', 6, 2)
('systemd-journal | 177', '/run/systemd/journal/streams/.#8:2828767P1Js6', 'p2f', 2, 2)
('systemd-resolve | 399', '127.0.0.53:*->127.0.0.1:*', 'p2n', 3, 7)
('cat | 12492', '/var/lib/update-notifier/updates-available.', 'p2p', 20, 2)
('rs:main | 607', '/var/log/syslog', 'p2f', 7468, 14)
('tar | 12359', '-df.alternatives.tar.0.-C./var/lib/dpkg.alternatives.', 'p2p', 7, 1)
('gvfsd-fuse | 830', '/dev/fuse', 'p2f', 222675, 112)
('cupsd | 12316', '/run/cups/certs/0', 'p2f', 428, 2)
('python3 | 12384', '/dev/shm/sem.V4wroQ', 'p2f', 2, 2)
('mv | 12357', 'oldpath=dpkg.statoverride(/var/backups/dpkg.statoverride), newpath=.//dpkg.statoverride.0(/var/backups/dpkg.statoverride.0)', 'p2f', 7, 1)
('systemd | 12522', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/cgroup.procs', 'p2f', 4, 2)
('find | 12417', '/var/lib/update-notifier/hwe-eol.-newermt.now-1 days.', 'p2p', 14, 1)
('basename | 12333', '--.dpkg.diversions.', 'p2p', 4, 1)
('python3 | 12384', '/dev/shm/sem.FXJlkI', 'p2f', 2, 2)
('dpkg-db-backup | 12274', '/dev/null', 'p2f', 16, 2)
('mv | 12353', 'oldpath=.//dpkg.statoverride.2.gz(/var/backups/dpkg.statoverride.2.gz), newpath=.//dpkg.statoverride.3.gz(/var/backups/dpkg.statoverride.3.gz)', 'p2f', 4, 1)
('systemd-logind | 628', '/run/systemd/sessions/.#392lKa07j', 'p2f', 2, 2)
('lsb_release | 12518', '-Es./usr/bin/lsb_release.-c.-s.', 'p2p', 9378, 6)
('uname | 12396', '-m.', 'p2p', 49, 2)
('cp | 12327', '/var/backups/dpkg.diversions', 'p2f', 6, 2)
('mv | 12341', 'oldpath=dpkg.diversions(/var/backups/dpkg.diversions), newpath=.//dpkg.diversions.0(/var/backups/dpkg.diversions.0)', 'p2f', 4, 1)
('dumpe2fs | 12448', '-h./dev/sda3.', 'p2p', 24, 2)
('python3 | 12384', '/dev/shm/sem.OmPSmj', 'p2f', 2, 2)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/cgroup.subtree_control', 'p2f', 10, 6)
('cut | 12409', '-d .-f4.', 'p2p', 32, 1)
('tar | 12360', '/var/backups/alternatives.tar', 'p2f', 12, 6)
('rm | 12350', '/var/backups/dpkg.statoverride.6', 'p2f', 7, 1)
('vim | 12581', '/root/.viminfo.tmp', 'p2f', 4, 4)
('mv | 12356', '-f.--..//dpkg.statoverride.0.gz..//dpkg.statoverride.1.gz.', 'p2p', 7, 1)
('85-fwupd | 12489', '/etc/update-motd.d/85-fwupd.', 'p2p', 32, 2)
('check-new-relea | 12522', '/usr/lib/ubuntu-release-upgrader/check-new-release-gtk.', 'p2p', 2, 1)
('00-header | 12483', '/etc/update-motd.d/00-header.', 'p2p', 31, 2)
('awk | 12424', '{print $1}./proc/uptime.', 'p2p', 32, 1)
('grep | 12404', '-q.-m.1...', 'p2p', 32, 1)
('tar | 12359', '/dev/null', 'p2f', 2, 1)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.J1TNL2', 'p2f', 324, 2)
('systemd-logind | 628', '/run/systemd/users/.#10004JKYzj', 'p2f', 2, 2)
('cat | 12490', '/run/motd.d/85-fwupd.', 'p2p', 32, 2)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.X8SNL2', 'p2f', 324, 2)
('dirname | 12365', '--.alternatives.tar.', 'p2p', 2, 1)
('basename | 12366', '--.alternatives.tar.', 'p2p', 2, 1)
('date | 12447', '-c.-s.', 'p2p', 9378, 6)
('mv | 12340', 'oldpath=.//dpkg.diversions.0.gz(/var/backups/dpkg.diversions.0.gz), newpath=.//dpkg.diversions.1.gz(/var/backups/dpkg.diversions.1.gz)', 'p2f', 4, 1)
('cp | 12327', '-p./var/lib/dpkg/diversions.dpkg.diversions.', 'p2p', 3, 1)
('expr | 12413', '1711498481.+.86400.', 'p2p', 7, 1)
('NetworkManager | 581', '10.218.108.42:*->185.125.190.98:*', 'p2n', 69, 1)
('date | 12362', '+%Y%m%d%H%M%S.', 'p2p', 14, 3)
('mv | 12324', 'oldpath=.//dpkg.status.0.gz(/dpkg.status.0.gz), newpath=.//dpkg.status.1.gz(/dpkg.status.1.gz)', 'p2f', 1, 1)
('systemd-journal | 177', '/run/systemd/journal/streams/.#8:2822235gTsXX', 'p2f', 2, 2)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.KY5ML2', 'p2f', 324, 2)
('find | 12403', '/var/lib/update-notifier/updates-available.-newermt.now-7 days.', 'p2p', 32, 1)
('release-upgrade | 12406', '/dev/null', 'p2f', 32, 1)
('update-motd-fsc | 12418', '/var/lib/update-notifier/fsck-at-reboot', 'p2f', 8, 1)
('ls | 12641', '/dev/null', 'p2f', 114, 48)
('check-new-relea | 12522', '/var/lib/update-manager/meta-release-lts', 'p2f', 2, 1)
('mv | 12341', '-f.--.dpkg.diversions..//dpkg.diversions.0.', 'p2p', 5, 1)
('rm | 12367', '-f.--..//alternatives.tar.6..//alternatives.tar.6.gz.', 'p2p', 2, 1)
('savelog | 12344', '/usr/bin/savelog.-c.7.dpkg.statoverride.', 'p2p', 7, 1)
('mv | 12371', '-f.--.alternatives.tar..//alternatives.tar.0.', 'p2p', 2, 1)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/memory.oom.group', 'p2f', 2, 1)
('dircolors | 12480', '-b.', 'p2p', 61, 2)
('check-new-relea | 12414', '/usr/lib/ubuntu-release-upgrader/check-new-release.-q.', 'p2p', 2, 1)
('dirname | 12348', '--.dpkg.statoverride.', 'p2p', 7, 1)
('dirname | 12479', '/usr/bin/lesspipe.', 'p2p', 61, 2)
('ls | 12691', '--color=auto.-alF.-lh.', 'p2p', 2, 1)
('mv | 12325', 'oldpath=dpkg.status(dpkg.status), newpath=.//dpkg.status.0(/dpkg.status.0)', 'p2f', 1, 1)
('head | 12705', '-v.-n.2./proc/stat./proc/version./proc/uptime./proc/loadavg./proc/sys/fs/file...', 'p2p', 111448, 64)
('bash | 12575', '/dev/null', 'p2f', 222, 101)
('gzip | 12369', '-f.-9..//alternatives.tar.0.', 'p2p', 2, 1)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-392.scope/memory.min', 'p2f', 8, 1)
('dbus-daemon | 951', '/sys/kernel/security/apparmor/.access', 'p2f', 267, 26)
('dpkg-db-backup | 12274', '/dev/null', 'p2f', 747, 106)
('dirname | 12332', '--.dpkg.diversions.', 'p2p', 4, 1)
('date | 12425', '+%s.', 'p2p', 86, 2)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/memory.high', 'p2f', 8, 1)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/memory.min', 'p2f', 2, 1)
('bash | 12538', '-c.while true; do sleep 1;head -v -n 8 /proc/meminfo; head -v -n 2 /proc/stat...', 'p2p', 38, 9)
('vim | 12571', '/home/storm/.viminfo.tmp', 'p2f', 2, 2)
('sh | 12383', '-c.python3 /home/storm/distdet/client/common/log_split.py /home/storm/distdet...', 'p2p', 264, 1)
('check-new-relea | 12520', '-r.-s.', 'p2p', 6, 2)
('mv | 12353', '--lsbsysinit./etc/update-motd.d.', 'p2p', 31, 2)
('uname | 12394', '--lsbsysinit./etc/update-motd.d.', 'p2p', 31, 2)
('mv | 12340', '-f.--..//dpkg.diversions.0.gz..//dpkg.diversions.1.gz.', 'p2p', 5, 1)
('91-contract-ua- | 12405', '/etc/update-motd.d/91-contract-ua-esm-status.', 'p2p', 32, 1)
('systemd-resolve | 399', '127.0.0.53:*', 'p2n', 1, 1)
('mv | 12371', 'oldpath=alternatives.tar(/var/backups/alternatives.tar), newpath=.//alternatives.tar.0(/var/backups/alternatives.tar.0)', 'p2f', 2, 1)
('vim | 12581', '/home/storm/distdet/client/training/.HST.py.swx', 'p2f', 2, 1)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.ENUNL2', 'p2f', 324, 2)
('grep | 12445', '^Next check after:.', 'p2p', 15, 1)
('vim | 12571', '/dev/null', 'p2f', 203, 952)
('systemd-logind | 628', '/run/systemd/sessions/.#392iJa7YP', 'p2f', 2, 2)
('dpkg-db-backup | 12274', '/dev/null', 'p2f', 14, 1)
('NetworkManager | 581', '10.218.108.42:*->91.189.91.98:*', 'p2n', 83, 1)
('env | 12482', '--lsbsysinit./etc/update-motd.d.', 'p2p', 31, 2)
('mv | 12351', '-f.--..//dpkg.statoverride.4.gz..//dpkg.statoverride.5.gz.', 'p2p', 7, 1)
('vim | 12581', '/home/storm/distdet/client/training/HST.py', 'p2f', 32, 2)
('mv | 12368', 'oldpath=.//alternatives.tar.1.gz(/var/backups/alternatives.tar.1.gz), newpath=.//alternatives.tar.2.gz(/var/backups/alternatives.tar.2.gz)', 'p2f', 2, 1)
('vim | 12581', '/home/storm/distdet/client/training/.HST.py.swp', 'p2f', 32, 8)
('cp | 12343', '/var/backups/dpkg.statoverride', 'p2f', 14, 2)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/cgroup.procs', 'p2f', 8, 1)
('systemd-timesyn | 401', '0.0.0.0:*', 'p2n', 357, 1)
('dpkg-db-backup | 12274', '/dev/null', 'p2f', 22, 5)
('systemd-logind | 628', '/run/systemd/sessions/.#392wTRFtG', 'p2f', 2, 2)
('savelog | 12361', '/usr/bin/savelog.-c.7.alternatives.tar.', 'p2p', 2, 1)
('systemd | 12617', '/sys/fs/cgroup/system.slice/cron.service/cgroup.procs', 'p2f', 36, 2)
('tail | 12805', '-v.-n.16./proc/net/dev.', 'p2p', 111419, 64)
('vim | 12581', '/home/storm/distdet/client/training/4913', 'p2f', 2, 1)
('NetworkManager | 581', '/var/lib/NetworkManager/timestamps.CETNL2', 'p2f', 324, 2)
('sudo | 12573', '/dev/tty', 'p2f', 541, 597)
('NetworkManager | 581', '10.218.108.42:*->91.189.91.97:*', 'p2n', 106, 2)
('systemd | 1', '/sys/fs/cgroup/user.slice/user-1000.slice/session-391.scope/memory.max', 'p2f', 8, 1)
('NetworkManager | 581', '10.218.108.42:*->91.189.91.49:*', 'p2n', 91, 1)
('mv | 12335', '-f.--..//dpkg.diversions.4.gz..//dpkg.diversions.5.gz.', 'p2p', 5, 1)
('mv | 12325', '-f.--.dpkg.status..//dpkg.status.0.', 'p2p', 3, 1)
('bash | 12516', '-c./usr/lib/openssh/sftp-server.', 'p2p', 5, 1)
('uname | 12394', '-r.-s.', 'p2p', 6, 2)
('tar | 12360', '-cf.alternatives.tar.-C./var/lib/dpkg.alternatives.', 'p2p', 2, 1)
('avahi-daemon | 567', '224.0.0.251:*->10.218.108.42:*', 'p2n', 87, 1)
('sh | 12377', '-c.   cd / && run-parts --report /etc/cron.hourly.', 'p2p', 359, 1)
('systemd | 769', '/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/app.slice/update-notifier-release.service/memory.swap.max', 'p2f', 2, 1)
('10-help-text | 12487', '/etc/update-motd.d/10-help-text.', 'p2p', 32, 2)
('gzip | 12339', '/var/backups/dpkg.diversions.0.gz', 'p2f', 8, 2)
('grep | 12455', '^Maximum mount count:.', 'p2p', 16, 2)
('cupsd | 12316', '/var/log/cups/access_log', 'p2f', 217, 3)
('savelog | 12328', '/dev/null', 'p2f', 14, 3)
