source,sink,freq
node,/home/local/ASUAD/lhuan139/.vscode-server/extensions/ms-python.vscode-pylance-2023.12.1/dist/.cache/local_indices/c4a8423d8a004758fe816f5e71301f9697e79c14684facc0dec7be5d768dc099/*,135
node,/home/local/ASUAD/lhuan139/.vscode-server/extensions/ms-toolsai.jupyter-2023.7.1002162226-linux-x64/temp/scripts/c872ac91a76e9dd874e68ba080d8494f2da8fee73e1955ddd5c8ea626c338ad3/jupyter/nbextensions/jupyter-js-widgets/*,711
node,/home/local/ASUAD/lhuan139/.vscode-server/extensions/ms-toolsai.jupyter-2023.7.1002162226-linux-x64/temp/scripts/c872ac91a76e9dd874e68ba080d8494f2da8fee73e1955ddd5c8ea626c338ad3/jupyter/nbextensions/pydeck/*,2574
node,/home/local/ASUAD/zliu396/.vscode-server/*,6
node,/home/local/ASUAD/zliu396/.vscode-server/data/User/workspaceStorage/2753391542c593a9abc378f40e1d55a9-1/*,1
node,/home/local/ASUAD/zliu396/.vscode-server/data/User/workspaceStorage/c003f3a39d5b487623622e84bfe5e5c1-1/*,1
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/*,20
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost1/output_logging_20240131T084956/*,148
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost2/output_logging_20240131T085216/*,120
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost3/*,8
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost3/vscode.git/*,52
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost3/vscode.github/*,1
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost4/*,20
node,/home/local/ASUAD/zliu396/.vscode-server/data/logs/20240131T084954/exthost4/output_logging_20240131T133514/*,1
node,/home/local/ASUAD/zliu396/.vscode-server/extensions/visualstudioexptteam.vscodeintellicode-1.2.30/cache/*,1
node,/tmp/pyright-484059-BuD5HJTja6XD/*,8
nvtop,/dev/pts/*,103410
postgres,/proc/self/*,6757
ps,/home/local/ASUAD/zliu396/.vscode-server/*,135
python,/data/zliu396/work_dir/processed_8k/cg/camera/*,234
python,/data/zliu396/work_dir/processed_8k/cg/contact/*,7
python,/data/zliu396/work_dir/processed_8k/cg/location/*,765
python,/data/zliu396/work_dir/processed_8k/cg/microphone/*,66
python,/data/zliu396/work_dir/processed_8k/cg/storage/*,168
python,/dev/pts/*,1737
python,/home/local/ASUAD/lhuan139/.cache/pip/http-v2/a/1/9/5/3/*,27
python,/home/local/ASUAD/lhuan139/.cache/pip/selfcheck/*,18
python,/home/local/ASUAD/lhuan139/.ipython/profile_default/db/*,18
python,/proc/self/task/483999/*,18
python,/tmp/*,64
python3,/tmp/*,220
python3,/var/lib/ubuntu-advantage/apt-esm/var/cache/apt/*,44
python3,/var/log/*,187
redis-server,/var/log/redis/*,23156
release-upgrade,/run/*,10
rs:main,/var/log/*,49880
sh,/dev/*,95
snapd,/var/cache/snapd/*,12472
snapd,/var/lib/snapd/*,11
sshd,/proc/self/*,27
store,/var/lib/apt/lists/partial/*,132
store,/var/lib/ubuntu-advantage/apt-esm/var/lib/apt/lists/partial/*,2266
systemd,/run/systemd/transient/*,10
systemd,/sys/fs/cgroup/blkio/system.slice/anacron.service/*,16
systemd,/sys/fs/cgroup/blkio/system.slice/apt-news.service/*,11
systemd,/sys/fs/cgroup/blkio/system.slice/esm-cache.service/*,11
systemd,/sys/fs/cgroup/blkio/system.slice/motd-news.service/*,11
systemd,/sys/fs/cgroup/blkio/system.slice/packagekit.service/*,11
systemd,/sys/fs/cgroup/blkio/user.slice/*,10
systemd,/sys/fs/cgroup/cpu/system.slice/anacron.service/*,64
systemd,/sys/fs/cgroup/cpu/system.slice/apt-news.service/*,44
systemd,/sys/fs/cgroup/cpu/system.slice/esm-cache.service/*,44
systemd,/sys/fs/cgroup/cpu/system.slice/motd-news.service/*,44
systemd,/sys/fs/cgroup/cpu/system.slice/packagekit.service/*,44
systemd,/sys/fs/cgroup/cpu/user.slice/*,10
systemd,/sys/fs/cgroup/cpuacct/user.slice/*,10
systemd,/sys/fs/cgroup/devices/system.slice/anacron.service/*,32
systemd,/sys/fs/cgroup/devices/system.slice/apt-news.service/*,22
systemd,/sys/fs/cgroup/devices/system.slice/esm-cache.service/*,22
systemd,/sys/fs/cgroup/devices/system.slice/motd-news.service/*,22
systemd,/sys/fs/cgroup/devices/system.slice/packagekit.service/*,22
systemd,/sys/fs/cgroup/devices/user.slice/*,10
systemd,/sys/fs/cgroup/memory/system.slice/anacron.service/*,32
systemd,/sys/fs/cgroup/memory/system.slice/apt-news.service/*,22
systemd,/sys/fs/cgroup/memory/system.slice/esm-cache.service/*,22
systemd,/sys/fs/cgroup/memory/system.slice/motd-news.service/*,22
systemd,/sys/fs/cgroup/memory/system.slice/packagekit.service/*,22
systemd,/sys/fs/cgroup/memory/user.slice/user-1940993620.slice/session-8800.scope/*,2
systemd,/sys/fs/cgroup/memory/user.slice/user-1941170413.slice/session-8788.scope/*,18
systemd,/sys/fs/cgroup/pids/system.slice/anacron.service/*,32
systemd,/sys/fs/cgroup/pids/system.slice/apt-news.service/*,22
systemd,/sys/fs/cgroup/pids/system.slice/esm-cache.service/*,22
systemd,/sys/fs/cgroup/pids/system.slice/motd-news.service/*,22
systemd,/sys/fs/cgroup/pids/system.slice/packagekit.service/*,22
systemd,/sys/fs/cgroup/pids/user.slice/user-1940993620.slice/session-8800.scope/*,2
systemd,/sys/fs/cgroup/pids/user.slice/user-1941170413.slice/session-8788.scope/*,18
systemd,/sys/fs/cgroup/systemd/system.slice/anacron.service/*,32
systemd,/sys/fs/cgroup/systemd/system.slice/apt-news.service/*,22
systemd,/sys/fs/cgroup/systemd/system.slice/esm-cache.service/*,22
systemd,/sys/fs/cgroup/systemd/system.slice/motd-news.service/*,22
systemd,/sys/fs/cgroup/systemd/system.slice/packagekit.service/*,22
systemd,/sys/fs/cgroup/systemd/user.slice/user-1940993620.slice/session-8800.scope/*,1
systemd,/sys/fs/cgroup/systemd/user.slice/user-1941170413.slice/session-8788.scope/*,9
systemd,/sys/fs/cgroup/unified/system.slice/anacron.service/*,32
systemd,/sys/fs/cgroup/unified/system.slice/apt-news.service/*,22
systemd,/sys/fs/cgroup/unified/system.slice/esm-cache.service/*,22
systemd,/sys/fs/cgroup/unified/system.slice/motd-news.service/*,22
systemd,/sys/fs/cgroup/unified/system.slice/packagekit.service/*,22
systemd,/sys/fs/cgroup/unified/user.slice/user-1940993620.slice/session-8800.scope/*,1
systemd,/sys/fs/cgroup/unified/user.slice/user-1941170413.slice/session-8788.scope/*,9
systemd-journal,/run/systemd/journal/streams/*,60
systemd-logind,/run/systemd/sessions/*,36
systemd-logind,/run/systemd/users/*,28
top,/dev/pts/*,36974
update-motd-hwe,/dev/*,10
update-motd-upd,/var/lib/update-notifier/*,22
wget,/dev/*,42
wget,/home/local/ASUAD/zliu396/.vscode-server/*,3
which,/home/local/ASUAD/zliu396/.vscode-server/*,10
